lane,title,purpose,train_type,model,dataset_rows_target,build_target_rows_pre_filter_(+20%),target_steps,synthetic_ratio,real_ratio,multilingual_flag,language_distribution_(if_multilingual),primary_supervision_or_output_target,mission_(volume_spec_notes),output_contract_(from_full_dataset_spec),duplication_tolerance_(excerpt),volume_spec_multilingual_flag,multilingual_in_yaml,lane_yaml_files_per_lane,languages,count_target_allocation_rule
1,Identity & Self-Definition,Pure chat,SFT,"Dino 4B, Dino Pro 7B",10000,12000,8000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),"Defines Dino’s self-description, boundaries, and stable persona.",tool_call: forbidden | image_context: forbidden,- Max token overlap between any two assistant: ≤ 35% | - Max reuse of identical user templates: ≤ 10% of dataset | - Synthetic templates: each template may generate ≤ 50 variants,yes (global distribution),NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
2,Tone & Behaviour,Pure chat,SFT,"Dino 4B, Dino Pro 7B",40000,48000,16000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),"Enforces tone, politeness, emotional stance.",tool_call: forbidden | image_context: forbidden,"- Max token overlap between assistant: ≤ 30% | - Each tone-behavior template: ≤ 40 variants | - At least 40 distinct user intent types (user wrong, user emotional, user aggressive, user confused, user asking for flattery, etc.)",yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
3,Think Mode,Pure chat,SFT,"Dino 4B, Dino Pro 7B",120000,144000,32000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),"Deep, step-by-step reasoning.",Plain assistant_response per lane rules; no internal mechanism words.,"- Max token overlap: ≤ 25% | - ≥ 60% of samples must include implicit multi-step reasoning | - ≤ 5% may share the same high-level structure (avoid “First, Second, Third” repetition)",yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
4,Quick Mode,Pure chat,SFT,"Dino 4B, Dino Pro 7B",80000,96000,24000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),"Fast, concise answers.",Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap: ≤ 30% | - At least 70% of answers must be ≤ 120 tokens | - At least 30% of answers must be ≤ 60 tokens,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
5,Conversation Mode,Pure chat,SFT,"Dino 4B, Dino Pro 7B",80000,96000,24000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),Natural conversational flow.,tool_call: forbidden,"- Max token overlap: ≤ 35% | - At least 60% of samples must be multi-turn (user–assistant–user–assistant) | - At least 40% must show emotional callbacks or continuity_choice = ""use_continuity""",yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
6,General Intent Classification,Detection,classifier-LoRA,"Dino 4B, Dino Pro 7B",40000,48000,10000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",intent_family/intent_subtype (classification),Classifies intent_family / intent_subtype.,tool_call: forbidden | lane-specific trigger fields (connector_needed/deeplink_needed): forbidden in this track,,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
7,Search Triggering,Detection,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",needs_search,Decides needs_search: true/false.,tool_call: forbidden in intention detection (action lanes handle tool calls),,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
8,Search Integration,Action taking,SFT,"Dino 4B, Dino Pro 7B",60000,72000,18000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(integration) tool_call + grounded assistant_response,Integrates search results into responses.,"Grounding: Use SEARCH_RESULTS only. No outside facts. | No internal leakage: do not say “tool_call”, “web_fetch”, “search”, “connector”, “deeplink”, “schema”, or labels.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
9,Multi-Step Action Flow,Action taking,SFT,"Dino 4B, Dino Pro 7B",60000,72000,18000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(flow) assistant_response (multi-step),"Flow_state handling, multi-turn action flows.",The assistant_response must be user-facing and only request the next minimal missing detail.,,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
10,Connector Intent Detection,Detection,classifier-LoRA,"Dino 4B, Dino Pro 7B",25000,30000,7000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",connector_needed,connector_needed: true/false + connector-related subtypes.,"tool_call: forbidden (connector action mapping is separate) | Positive samples must be truly connector-required (e.g., “send/modify something in an external account/app”), not just “draft text”.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
11,Connector Action Mapping,Action mapping,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",connector_action,Maps to connector_action tool_call.,"Output ONLY the label (e.g., connector_action=""email_composeEmail""). No drafts, no metadata, no connector selection. | Use canonical labels only.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
12,Deeplink Action Mapping,Action mapping,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",deeplink_action,Maps to deeplink_action tool_call.,"Output ONLY the label (e.g., deeplink_action=""maps_openDirections""). No URL building, no OS/app metadata. | Use canonical labels only.",,yes (EN focus but still global distribution),NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
13,Doc Export Spec,Action taking,LoRA,"Dino 4B, Dino Pro 7B",25000,30000,7000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",tool_call (export_document) only,export_document spec generation; schema-locked tool_call only.,"assistant_response MUST be empty (""""). | Output MUST be only the tool_call object (no prose outside the tool_call). | No tables, no JSON spec mode, no ZIP wrapper, no code blocks, no other tool calls.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
14,Zip Wrap Spec,Action taking,LoRA,"Dino 4B, Dino Pro 7B",25000,30000,7000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",tool_call (zip_list) only,zip_list spec generation; deterministic manifest-first ordering.,"assistant_response MUST be empty (""""). | Output MUST be only the tool_call object (no prose outside the tool_call). | Do NOT add fields not in master schema (e.g., no filetype). File type is inferred from filename extension. | No binary/actual zip generation; ",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
15,Code Generation,Action taking,SFT,"Dino 4B, Dino Pro 7B",120000,144000,32000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response code-only,"Code writing, bug-fix, refactor; code-only outputs where required.","assistant_response MUST be exactly one fenced code block (no prose before or after). | tool_call is forbidden. | No JSON, no manifests, no tables, no explanations. | Single-file output only (multi-file packaging belongs in Lane 14).",,"yes (prompts across languages, code comments primarily en)",NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
16,Code JSON Spec Mode,Action taking,LoRA,"Dino 4B, Dino Pro 7B",25000,30000,7000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response JSON-only,STRICT JSON-only code specs; deterministic field order; no prose.,"assistant_response MUST be valid JSON only (no prose, no markdown, no code fences, no comments). | tool_call is forbidden. | No tables, no ZIP wrapper.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
17,Comparison Tables,Action taking,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response table-only,"Markdown comparison tables only; stable columns; no TBD in production; multiple shapes (2×2, 3×4, 4×3, etc.) covered in data.","assistant_response MUST be a markdown table only. | No prose, no bullets, no footnotes, no JSON, no code, no tool_call.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
