lane,title,purpose,train_type,model,dataset_rows_target,build_target_rows_pre_filter_(+20%),target_steps,synthetic_ratio,real_ratio,multilingual_flag,language_distribution_(if_multilingual),primary_supervision_or_output_target,mission_(volume_spec_notes),output_contract_(from_full_dataset_spec),duplication_tolerance_(excerpt),volume_spec_multilingual_flag,multilingual_in_yaml,lane_yaml_files_per_lane,languages,count_target_allocation_rule
18,Chart Spec,Action taking,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response chart_spec-only,chart_spec-like YAML structures; deterministic key order; placeholder numbers allowed in training but not required at runtime.,"assistant_response MUST contain only chart_spec (YAML-like), no prose before/after. | No tool_call, no JSON spec mode, no tables.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
19,Continuity Decision,Detection,SFT,"Dino 4B, Dino Pro 7B",40000,48000,12000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",continuity_choice,Chooses use_continuity vs suppress_continuity.,"When continuity_choice=use_continuity, messages must include the required prior fact(s) | tool_call: forbidden",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
20,Continuity Execution,Action taking,SFT,"Dino 4B, Dino Pro 7B",60000,72000,18000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response uses continuity context,Uses prior content when continuity is enabled.,Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap: ≤ 35% | - At least 60% of samples must explicitly reference prior user content,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
21,Rewrite,Action taking,LoRA,"Dino 4B, Dino Pro 7B",40000,48000,10000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response rewrite,Rewriting user text; preserves meaning; explicit request only.,Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap between user and assistant: ≤ 70% (must show real rewrite) | - Max token overlap between assistants across dataset: ≤ 35%,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
22,Translate,Action taking,SFT,"Dino Pro 7B, Dino Pro 8B",120000,144000,32000,0.6,0.4,SPECIAL (translation): per-UI-language lane_<lang>.yaml; cross-language content allowed inside row,"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response translation,Multilingual translation.,Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap between user and assistant: ≤ 20% (different language) | - Max token overlap across assistants: ≤ 35%,"yes (all languages, including th)",SPECIAL (translation): per-UI-language YAMLs; stable UI language per file,14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
23,Grammar Fix,Action taking,LoRA,"Dino 4B, Dino Pro 7B",40000,48000,10000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response grammar fix,Grammar correction; minimal style drift.,Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap between user and assistant: ≤ 80% (only grammar changes) | - Max token overlap across assistants: ≤ 35%,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
24,History Search Trigger,Detection,classifier-LoRA,"Dino 4B, Dino Pro 7B",25000,30000,7000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",needs_history_search,Decides needs_history_search and history_scope.,tool_call: forbidden | Positive samples must require recalling earlier content (not world knowledge),,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
25,History Search Integration,Action taking,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response integrates retrieved history,Uses retrieved history content in responses; no hallucinated memory.,"needs_history_search MUST be true in all samples. | No tool_call (retrieval already happened upstream). | No hallucinated memory or invented past messages. | No chain-of-thought, no system prompt leakage.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
26,Image Context Understanding,Action taking,SFT,"Dino Pro 7B, Dino Pro 8B",60000,72000,18000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",assistant_response image understanding,Understands image_context and describes content.,Mention specific objects/brands/colors only if present in image_context.,,yes (prompts across languages; descriptions primarily en + zh-hk + th),NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
27,Image → Tooling,Action mapping,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",image_tool_action,Maps image context to web_fetch or connector_action.,"This lane is mapping only. Integration and grounded answering happen downstream. | Use ""connector_action"" only when the user is asking to send/save/modify via an external account/app (email/calendar/files), not for general info lookup.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
28,Emote6 Labeling,Detection,classifier-LoRA,"Dino 4B, Dino Pro 7B",40000,48000,10000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",emote6,Emote6 classification.,"- Each emote6 label should represent ≥ 10% of the dataset.
- Prefer real, natural user messages (stress, gratitude, frustration, reassurance, neutral factual tone).",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
29,Safety: History/Politics,Pure chat (safety/politics),SFT,"Dino Pro 7B, Dino Pro 8B",80000,96000,24000,0.5,0.5,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),"Corrects misinformation, enforces sensitive-topic safety.",Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap: ≤ 30% | - At least 40% of samples must correct user misinformation,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
30,Safety: No Leakage,Pure chat (no-leak),LoRA,"Dino 4B, Dino Pro 7B",40000,48000,10000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),Prevents system prompt/model detail leakage.,Plain assistant_response per lane rules; no internal mechanism words.,- Max token overlap: ≤ 35% | - At least 40% of samples must be creative attempts to extract system prompt/model details,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
31,Mode Selection,Detection,classifier-LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",mode,mode_label: quick | think | conversation.,tool_call: forbidden,,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
32,Representation Choice,Detection,LoRA,"Dino 4B, Dino Pro 7B",30000,36000,8000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",representation_choice,"representation_choice selection (plain_text, comparison_table, chart_spec, document_spec, zip_spec, etc.).",assistant_response must be in the target representation (no meta) | tool_call: forbidden,,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
33,Fallback Behavior,Pure chat (fallback),LoRA,"Dino 4B, Dino Pro 7B",40000,48000,10000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),Graceful fallback when tools/search unavailable.,assistant_response → MUST show graceful fallback when tools/search unavailable | tool_call: forbidden in this track,- Max token overlap: ≤ 35% | - At least 40% of samples must explicitly mention limitations or alternative approaches,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
34,Cantonese_Ability,Pure chat (zh-hk),SFT-LoRA,Dino Pro 8B,80000,96000,24000,0.6,0.4,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),"Natural HK Cantonese, code-switching, cultural grounding.",tool_call: forbidden,"- Max token overlap: ≤ 35% | - At least 40% of samples must include HK‑style colloquial phrasing | - At least 20% must include light code-switching (e.g., English nouns)","focused (zh-hk 70%, en 15%, zh-hant 10%, th 5%)",NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
35,Topic_Hygiene,Pure chat (topic hygiene),SFT-LoRA,Dino Pro 8B,60000,72000,18000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",(SFT response quality),Prevents topic dragging; only references past topics when explicitly requested.,"No tool_call, no action labels, no internal routing/schema mentions.",,yes,NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
37,Deeplink Intent Detection (NEW),Detection,classifier-LoRA,"Dino 4B, Dino Pro 7B",25000,30000,7000,0.8,0.2,NO (per-language lane_<lang>.yaml; no mixed-language rows),"en 50%, zh-hk 10%, th 10%, zh-hant 4%, zh-hans 4%, pt-br 5%, es 5%, de 2%, fr 2%, it 2%, ja 2%, ko 2%, hi 2%, vi 2%",deeplink_needed,Decides whether a user message requires a deeplink action; upstream of Lane 12; parallel to Lane 10.,"tool_call: forbidden (deeplink action mapping is separate) | Positive samples must require launching/controlling an app, not just explaining it",,yes (EN-heavy but still global distribution),NO (split into 14 language-specific YAMLs),14,"en, zh-hk, th, zh-hant, zh-hans, pt-br, es, de, fr, it, ja, ko, hi, vi",Allocate per language by normalized weights (sum=102%) then round-to-nearest (half-up) and adjust to preserve total exactly.
